NODE,25,20,15,10,5
293460242,13359,8093,4006,1436,299
293463096,8560,4679,2141,701,169
295917924,12311,6876,3451,1576,275
295918570,15436,8501,4065,1680,523
384700034,8018,4856,3058,1512,620
384700039,9157,5720,3142,1582,773
384711098,13342,8047,4375,2163,626
384711102,12528,7593,4037,2039,574
447768546,4459,2799,1262,474,146
447768547,4190,2541,1167,454,129
447768550,3879,2307,1114,440,96
447768560,3873,2296,1105,454,104
452619555,6182,3892,2120,752,226
493786371,8108,3844,1797,547,216
493883620,3709,2007,953,453,151
493883622,4008,2105,1180,472,178
493885671,4908,2643,1341,635,176
493885679,6043,3582,1554,779,312
493888787,2919,1764,956,478,134
493888789,3029,1828,1041,494,206
493893495,2355,1356,738,366,101
493893496,2562,1384,741,407,110
493893507,1736,1017,583,256,98
493893511,1850,1065,604,246,125
493893512,1850,1057,582,256,111
493893524,2775,1550,771,387,154
493893575,5611,3008,1583,792,227
493893576,3927,2470,1343,628,137
493893633,4849,3482,2188,970,230
493893647,1865,1089,601,305,96
493893653,1920,1101,632,353,96
493893668,1349,662,214,77,52
493893675,1430,761,325,147,94
493893722,3672,2064,1044,446,197
493893727,2728,1555,847,389,173
493893745,13347,7240,3207,1074,417
493893746,4832,2288,1270,469,175
493893796,4390,2345,1407,744,210
493893866,15742,9842,5025,2317,524
494301038,12381,6913,3165,1047,421
494406437,3241,1953,994,429,166
497656654,17319,11291,6335,2510,678
582545912,7888,4721,2838,1301,668
582546025,7326,4401,2716,1287,464
583639286,8483,5695,3373,1335,430
583639339,11424,6607,3396,1688,458
584164333,7114,4362,2552,1091,301
584175557,12933,8561,4673,1759,373
584176466,13022,8735,4826,1821,362
584176500,12790,7898,4079,1516,324
584176534,12498,7506,3610,1450,313
584181372,14384,8681,4349,1898,425
584182438,17993,10564,5122,1743,446
584191120,11529,7399,3854,1123,229
585214524,15398,9499,5282,1860,547
585215888,8473,4849,2075,850,196
585215917,9257,5265,3035,1226,249
585215936,11006,6153,2925,942,184
585216918,15625,8738,4081,1208,276
585216949,14273,8385,3740,1156,287
585216952,13662,7721,3296,1213,337
585217977,15647,8907,4162,1273,256
602550940,8055,4149,1982,834,380
602551180,8819,4745,2403,942,464
602551194,8294,4394,2119,908,455
602558191,6951,4298,2418,1099,470
602558205,6936,4323,2459,1135,463
602558218,6984,4359,2319,1022,434
602558225,7225,4306,2416,1006,485
602599254,7062,4225,2454,992,312
603122338,9992,6529,3383,1324,252
603122350,5139,3184,1977,1088,360
603123376,5499,3317,2061,1082,341
603123413,7573,4903,2522,1153,306
603125376,6938,4394,2423,856,307
603125394,7231,4913,2842,1173,389
603125821,6989,4407,2513,910,319
603125826,5705,3525,1817,789,237
603126711,7043,4645,2478,996,345
603131173,10246,6956,4677,2289,486
603131183,10629,7418,4957,2189,529
603131191,10414,7084,4620,2104,525
603131200,10572,7076,4353,2257,581
603131203,10176,6763,4348,2074,593
603131230,10000,6739,4586,2173,588
603133363,12253,8716,5365,2133,616
603133877,12527,8855,5166,1923,502
603138456,15749,9991,5512,2289,539
603138765,15005,10464,5741,2944,723
603138823,12909,7602,3641,1448,308
603138864,13576,7633,4236,1752,423
603141112,11710,7417,4946,2394,634
603141129,9908,6786,4743,2061,476
603141659,10113,6904,4712,2138,446
603141687,10485,7163,4474,1964,550
603142506,10485,7163,4474,1964,550
603145135,14717,8756,3616,1569,459
603150703,11131,6588,3148,1267,365
603150720,11046,6555,3117,1288,350
603161112,7359,4732,2914,1435,423
610482441,7110,4376,2627,1393,473
610482533,5612,3700,2100,1139,280
610482538,6079,3920,2288,1298,298
643692639,4134,2557,975,332,127
643734775,13009,7744,3772,1459,463
643752477,10016,7038,3233,1146,251
643752482,10021,6505,3382,1370,247
643770232,13884,10935,6707,3148,700
643770244,13703,9495,5320,2270,544
643770272,14891,11318,6866,3090,1025
643824004,5639,2506,1027,654,185
644598987,13193,8693,5585,2410,655
674502897,5833,3483,1929,1128,290
674502899,5374,3334,1837,1108,332
